describle,evaluate,introduce,movie_name,serial_number,star
希望让人自由。,1661360人评价,,肖申克的救赎,1,9.7
风华绝代。,1227243人评价,,霸王别姬,2,9.6
一部美国近现代史。,1286255人评价,,阿甘正传,3,9.5
怪蜀黍和小萝莉不得不说的故事。,1479314人评价,,这个杀手不太冷,4,9.4
最美的谎言。,751901人评价,,美丽人生,5,9.5
失去的才是永恒的。 ,1225169人评价,,泰坦尼克号,6,9.4
最好的宫崎骏，最好的久石让。 ,1314780人评价,,千与千寻,7,9.3
拯救一个人，就是拯救整个世界。,663546人评价,,辛德勒的名单,8,9.5
诺兰给了我们一场无法盗取的梦。,1259540人评价,,盗梦空间,9,9.3
永远都不能忘记你所爱的人。,850670人评价,,忠犬八公的故事,10,9.3
小瓦力，大人生。,834896人评价,,机器人总动员,11,9.3
英俊版憨豆，高情商版谢耳朵。,1142233人评价,,三傻大闹宝莱坞,12,9.2
天籁一般的童声，是最接近上帝的存在。 ,797395人评价,,放牛班的春天,13,9.3
如果再也不能见到你，祝你早安，午安，晚安。,892526人评价,,楚门的世界,14,9.2
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,920397人评价,,海上钢琴师,15,9.2
爱是一种力量，让我们超越时空感知它的存在。,912029人评价,,星际穿越,16,9.3
一生所爱。,892680人评价,,大话西游之大圣娶亲,17,9.2
人人心中都有个龙猫，童年就永远不会消失。,779145人评价,,龙猫,18,9.2
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,533963人评价,,熔炉,19,9.3
香港电影史上永不过时的杰作。,733105人评价,,无间道,20,9.2
千万不要记恨你的对手，这样会让你失去理智。,568001人评价,,教父,21,9.3
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,1039002人评价,,疯狂动物城,22,9.2
平民励志片。 ,924889人评价,,当幸福来敲门,23,9.1
真正的幸福是来自内心深处。,1041068人评价,,怦然心动,24,9.0
满满温情的高雅喜剧。,603400人评价,,触不可及,25,9.2
无尽的黑暗。,605779人评价,,蝙蝠侠：黑暗骑士,26,9.2
张艺谋最好的电影。,473978人评价,,活着,27,9.2
Tomorrow is another day.,413816人评价,,乱世佳人,28,9.3
比利·怀德满分作品。,218364人评价,,控方证人,29,9.6
瑰丽壮观、无人能及的冒险之旅。,897119人评价,,少年派的奇幻漂流,30,9.0
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,913427人评价,,摔跤吧！爸爸,31,9.0
史诗的终章。,454100人评价,,指环王3：王者无敌,32,9.2
对敌人的仁慈，就是对自己残忍。,382614人评价,,鬼子来了,33,9.2
最后那些最无聊的事情，才是最值得怀念的。 ,818557人评价,,飞屋环游记,34,9.0
1957年的理想主义。 ,272559人评价,,十二怒汉,35,9.4
对天空的追逐，永不停止。 ,529875人评价,,天空之城,36,9.1
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,431062人评价,,天堂电影院,37,9.2
旷古烁今。,721393人评价,,大话西游之月光宝盒,38,9.0
死亡不是真的逝去，遗忘才是永恒的消亡。,870504人评价,,寻梦环游记,39,9.0
带着心爱的人在天空飞翔。,599419人评价,,哈尔的移动城堡,40,9.0
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,390071人评价,,末代皇帝,41,9.2
爱情哪怕只有一天。,606188人评价,,罗马假日,42,9.0
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,565996人评价,,搏击俱乐部,43,9.0
史上最美的探戈。,520629人评价,,闻香识女人,44,9.0
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,350849人评价,,素媛,45,9.2
电影的现实意义大过电影本身。,363009人评价,,辩护人,46,9.2
别样人生。,356693人评价,,窃听风暴,47,9.1
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,434393人评价,,死亡诗社,48,9.1
凝视卑弱生命，用电影改变命运。,422568人评价,,何以为家,49,9.1
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,383640人评价,,两杆大烟枪,50,9.1
承前启后的史诗篇章。,421913人评价,,指环王2：双塔奇兵,51,9.0
自由万岁。,387887人评价,,飞越疯人院,52,9.1
优雅的孤独。,309464人评价,,教父2,53,9.2
动物版《哈姆雷特》。,468651人评价,,狮子王,54,9.0
传说的开始。,473947人评价,,指环王1：魔戒再现,55,9.0
一张面具背后的理想与革命。,666828人评价,,V字仇杀队,56,8.9
爱是一切逻辑和原由。,465741人评价,,美丽心灵,57,9.0
人生不能像做菜，把所有的料都准备好了才下锅。,332817人评价,,饮食男女,58,9.1
